Volume,Text No.,Text Title,Match with T Text? (1=yes 0=no 2 = ref),Quote in LS,Ch. in T Text,Quote in T Text,P. No. in T Text,UID,Start Index T,End Index T,Start Index LS,End Index LS
5,9,smin byed don gsal sgron me zhes bya ba spros bcas bum pa'i dbang bzhugs pa lags so:,1,mtshan nyid ldan pa'i bla mas ni:_dbang bskur bas ni sdug bsngal grol:_ces pa dang :,48,mtshan nyid ldan pa'i bla ma ni/_/dbang bskur bas na sdug bsngal grol/_/,,91089,155520,155592,99644,99728
5,9,smin byed don gsal sgron me zhes bya ba spros bcas bum pa'i dbang bzhugs pa lags so:,1,klong gsal las:_snod dang mi ldan slob ma ni:_shes chung kha gsag gdong ltas che:_kha mkhas lag dam g.yo sgyu che:_bla ma'i gsung gcog drin la rtsod:_yon tan mi mthong skyon la rtog:_rigs rgyud ngang rgyud ngan pa dang :_bka' drin khyad gsod rang gis rang la bstod:_sdom dang dam tshig nyams len 'chal:_slob ma ma brtags slob dpon dgra:_nyams su mi len gang zag la:_rdzogs pa chen po'i dbang dang ni:_don dang gdams pa bstan mi bya:_zhes pas:,50,snod dang mi ldan slob ma ni/_/rigs ngan blo chung ngang rgyud thung /_/kha zol shes chung gdung ltas che/_/kha mkhas lag dam g.yo zog che//bla ma'i gsung gcog drin lan rtsod/_/yon tan mi mthong skyon la rtogs/_/rigs rgyud ngang rgyud ngan pa dang /_bka' drin khyad bsad rang la bstod/_/dam tshig nyams len phyal bar btang /_/de lta bu'i gang zag la/_/rdzogs pa chen po'i don mi bstan/_/,,75002,157077,157464,100334,100776
5,9,smin byed don gsal sgron me zhes bya ba spros bcas bum pa'i dbang bzhugs pa lags so:,0,klong gsal las:_skyabs 'gro thun mong nas brtsams te:_dbang bzhi rdzogs par bskur bar bya:_zhes so:,,,,81963,0,0,101904,102003
5,9,smin byed don gsal sgron me zhes bya ba spros bcas bum pa'i dbang bzhugs pa lags so:,0,:_klong gsal las: dga' ston baRa chad sel ba dang :_yon tan dngos grub 'grub par 'gyur: zhes gsungs so:_,,,,95527,0,0,102730,102834
5,9,smin byed don gsal sgron me zhes bya ba spros bcas bum pa'i dbang bzhugs pa lags so:,0,klong gsal las:_dga' ston tshogs 'khor med pa na:_bar chad rkyen ni sna tshogs 'byung :_dbang gi rgyal sa zhig pa dang :_dngos grub mi thob yi dwags skye:_zhes so:,,,,96004,0,0,103149,103312
5,9,smin byed don gsal sgron me zhes bya ba spros bcas bum pa'i dbang bzhugs pa lags so:,0,klong gsal las:_rgyud kyi sdig pa sbyong pa'i phyir:_sngon 'gro yig brgya'i bzlas brjod bya:_zhes pas,,,,71652,0,0,103365,103466
5,9,smin byed don gsal sgron me zhes bya ba spros bcas bum pa'i dbang bzhugs pa lags so:,0,klong gsal las:_bar chad mi zhugs bsrung bya'i phyir:_hUM gi sbyor bas srung mtshams bya:_zhes pas:,,,,69432,0,0,103579,103678
5,9,smin byed don gsal sgron me zhes bya ba spros bcas bum pa'i dbang bzhugs pa lags so:,0,de nas klong gsal las:_dam tshig khas len byung na sbyin: zhes pas:,,,,34448,0,0,104136,104203
5,9,smin byed don gsal sgron me zhes bya ba spros bcas bum pa'i dbang bzhugs pa lags so:,0,de yang stegs bu'i rgyu'am tshad ni klong gsal las:_bkra shis rdzas dang sa bzang la:_rat+na sa bzang legs par brtsigs:_rab ni ji ltar grub pa la:_tha ma mda' gang 'dom gang tshad:_ces so:,,,,99409,0,0,105005,105193
5,9,smin byed don gsal sgron me zhes bya ba spros bcas bum pa'i dbang bzhugs pa lags so:,0,klong gsal las:_rdo rje slob dpon bya ba'i las:_bum pa lha dang sbyin sreg dang :_slob ma sta gon nye bar bya:_zhes pas:,,,,70783,0,0,105851,105971
5,9,smin byed don gsal sgron me zhes bya ba spros bcas bum pa'i dbang bzhugs pa lags so:,0,klong gsal las:_thig skud ye shes lnga sgril bas:_dkyil 'khor steng gi nam mkha' la:_tshangs thig cha chen dag kyang gdab:_skad cig dkyil 'khor lha tshogs bskyed:_mchod pa dang ni bstod pa bya: de nas dkyil 'khor thig gdab pa:_dkyil 'khor spyi dang mthun par gdab: dkyil 'khor bkod pa shes par gyis:_zhes ,,,,63723,0,0,114607,114912
